,Fechas,Presion,Estacion
0,2020-02-28,640.7590909090909,MED-FISC
1,2020-02-29,640.7695652173913,MED-FISC
2,2020-03-01,640.3166666666667,MED-FISC
3,2020-03-02,639.7875,MED-FISC
4,2020-03-03,639.25,MED-FISC
5,2020-03-04,639.7958333333333,MED-FISC
6,2020-03-05,639.8416666666667,MED-FISC
7,2020-03-06,639.9791666666666,MED-FISC
8,2020-03-07,639.6708333333333,MED-FISC
9,2020-03-08,639.7208333333333,MED-FISC
10,2020-03-09,639.9791666666666,MED-FISC
11,2020-03-10,640.5166666666667,MED-FISC
12,2020-03-11,639.6833333333333,MED-FISC
13,2020-03-12,638.6125000000001,MED-FISC
14,2020-03-13,639.9958333333333,MED-FISC
15,2020-03-14,641.1333333333333,MED-FISC
16,2020-03-15,640.9666666666667,MED-FISC
17,2020-03-16,640.5500000000001,MED-FISC
18,2020-03-17,640.5625,MED-FISC
19,2020-03-18,640.7708333333334,MED-FISC
20,2020-03-19,640.9083333333333,MED-FISC
21,2020-03-20,641.8541666666666,MED-FISC
22,2020-03-21,641.6083333333333,MED-FISC
23,2020-03-22,640.7833333333333,MED-FISC
24,2020-03-23,641.6458333333334,MED-FISC
25,2020-03-24,641.6750000000001,MED-FISC
26,2020-03-25,640.1583333333333,MED-FISC
27,2020-03-26,639.5500000000001,MED-FISC
28,2020-03-27,638.8625000000001,MED-FISC
29,2020-03-28,638.7125,MED-FISC
30,2020-03-29,639.5583333333333,MED-FISC
31,2020-03-30,640.0083333333333,MED-FISC
32,2020-03-31,639.4869565217392,MED-FISC
33,2020-04-01,640.4521739130435,MED-FISC
34,2020-04-02,640.4833333333333,MED-FISC
35,2020-04-03,639.5083333333333,MED-FISC
36,2020-04-04,639.25,MED-FISC
37,2020-04-05,639.8375,MED-FISC
38,2020-04-06,640.6791666666667,MED-FISC
39,2020-04-07,640.9041666666667,MED-FISC
40,2020-04-08,640.1304347826087,MED-FISC
41,2020-04-09,640.4958333333333,MED-FISC
42,2020-04-10,640.2833333333333,MED-FISC
43,2020-04-11,641.0375,MED-FISC
44,2020-04-12,641.4625,MED-FISC
45,2020-04-13,642.2083333333334,MED-FISC
46,2020-04-14,641.7458333333333,MED-FISC
47,2020-04-15,641.2863636363636,MED-FISC
48,2020-04-16,641.5416666666666,MED-FISC
49,2020-04-17,641.775,MED-FISC
50,2020-04-18,641.9454545454545,MED-FISC
51,2020-04-19,641.9772727272727,MED-FISC
52,2020-04-20,641.2333333333333,MED-FISC
53,2020-04-21,641.9499999999999,MED-FISC
54,2020-04-22,641.4125,MED-FISC
55,2020-04-23,641.0,MED-FISC
56,2020-04-24,640.8125,MED-FISC
57,2020-04-25,640.775,MED-FISC
58,2020-04-26,640.8125,MED-FISC
59,2020-04-27,640.7083333333334,MED-FISC
60,2020-04-28,640.5899999999999,MED-FISC
61,2020-04-29,640.4958333333333,MED-FISC
62,2020-04-30,641.0434782608696,MED-FISC
63,2020-05-01,641.5636363636363,MED-FISC
64,2020-05-02,641.1708333333333,MED-FISC
65,2020-05-03,640.3416666666667,MED-FISC
66,2020-05-04,639.4583333333334,MED-FISC
67,2020-05-05,639.5500000000001,MED-FISC
68,2020-05-06,640.1125000000001,MED-FISC
69,2020-05-07,640.1666666666666,MED-FISC
70,2020-05-08,640.5083333333333,MED-FISC
71,2020-05-09,640.5791666666667,MED-FISC
72,2020-05-10,640.5863636363637,MED-FISC
73,2020-05-11,640.9250000000001,MED-FISC
74,2020-05-12,641.0666666666667,MED-FISC
75,2020-05-13,641.4478260869565,MED-FISC
76,2020-05-14,640.8000000000001,MED-FISC
77,2020-05-15,640.4458333333333,MED-FISC
78,2020-05-16,639.9250000000001,MED-FISC
79,2020-05-17,640.2458333333333,MED-FISC
80,2020-05-18,640.5375,MED-FISC
81,2020-05-19,641.4541666666667,MED-FISC
82,2020-05-20,640.8291666666667,MED-FISC
83,2020-05-21,640.5124999999999,MED-FISC
